URL	異本	辞書	形式	右巻	右頁	右面	左巻	左頁	左面
https://dl.ndl.go.jp/pid/1182105/1/1	前田本	色葉字類抄	見開き	上	NA	NA	上	NA	NA
https://dl.ndl.go.jp/pid/1182105/1/2	前田本	色葉字類抄	見開き	上	NA	NA	上	NA	NA
https://dl.ndl.go.jp/pid/1182105/1/3	前田本	色葉字類抄	見開き	上	NA	NA	上	NA	NA
https://dl.ndl.go.jp/pid/1182105/1/4	前田本	色葉字類抄	見開き	上	NA	NA	上	1	オ
https://dl.ndl.go.jp/pid/1182105/1/5	前田本	色葉字類抄	見開き	上	1	ウ	上	2	オ
https://dl.ndl.go.jp/pid/1182105/1/6	前田本	色葉字類抄	見開き	上	2	ウ	上	3	オ
https://dl.ndl.go.jp/pid/1182105/1/7	前田本	色葉字類抄	見開き	上	3	ウ	上	4	オ
https://dl.ndl.go.jp/pid/1182105/1/8	前田本	色葉字類抄	見開き	上	4	ウ	上	5	オ
https://dl.ndl.go.jp/pid/1182105/1/9	前田本	色葉字類抄	見開き	上	5	ウ	上	6	オ
https://dl.ndl.go.jp/pid/1182105/1/10	前田本	色葉字類抄	見開き	上	6	ウ	上	7	オ
https://dl.ndl.go.jp/pid/1182105/1/11	前田本	色葉字類抄	見開き	上	7	ウ	上	8	オ
https://dl.ndl.go.jp/pid/1182105/1/12	前田本	色葉字類抄	見開き	上	8	ウ	上	9	オ
https://dl.ndl.go.jp/pid/1182105/1/13	前田本	色葉字類抄	見開き	上	9	ウ	上	10	オ
https://dl.ndl.go.jp/pid/1182105/1/14	前田本	色葉字類抄	見開き	上	10	ウ	上	11	オ
https://dl.ndl.go.jp/pid/1182105/1/15	前田本	色葉字類抄	見開き	上	11	ウ	上	12	オ
https://dl.ndl.go.jp/pid/1182105/1/16	前田本	色葉字類抄	見開き	上	12	ウ	上	13	オ
https://dl.ndl.go.jp/pid/1182105/1/17	前田本	色葉字類抄	見開き	上	13	ウ	上	14	オ
https://dl.ndl.go.jp/pid/1182105/1/18	前田本	色葉字類抄	見開き	上	14	ウ	上	15	オ
https://dl.ndl.go.jp/pid/1182105/1/19	前田本	色葉字類抄	見開き	上	15	ウ	上	16	オ
https://dl.ndl.go.jp/pid/1182105/1/20	前田本	色葉字類抄	見開き	上	16	ウ	上	17	オ
https://dl.ndl.go.jp/pid/1182105/1/21	前田本	色葉字類抄	見開き	上	17	ウ	上	18	オ
https://dl.ndl.go.jp/pid/1182105/1/22	前田本	色葉字類抄	見開き	上	18	ウ	上	19	オ
https://dl.ndl.go.jp/pid/1182105/1/23	前田本	色葉字類抄	見開き	上	19	ウ	上	20	オ
https://dl.ndl.go.jp/pid/1182105/1/24	前田本	色葉字類抄	見開き	上	20	ウ	上	21	オ
https://dl.ndl.go.jp/pid/1182105/1/25	前田本	色葉字類抄	見開き	上	21	ウ	上	22	オ
https://dl.ndl.go.jp/pid/1182105/1/26	前田本	色葉字類抄	見開き	上	22	ウ	上	23	オ
https://dl.ndl.go.jp/pid/1182105/1/27	前田本	色葉字類抄	見開き	上	23	ウ	上	24	オ
https://dl.ndl.go.jp/pid/1182105/1/28	前田本	色葉字類抄	見開き	上	24	ウ	上	25	オ
https://dl.ndl.go.jp/pid/1182105/1/29	前田本	色葉字類抄	見開き	上	25	ウ	上	26	オ
https://dl.ndl.go.jp/pid/1182105/1/30	前田本	色葉字類抄	見開き	上	26	ウ	上	27	オ
https://dl.ndl.go.jp/pid/1182105/1/31	前田本	色葉字類抄	見開き	上	27	ウ	上	28	オ
